method,size,split,seed,instance_id,Cmax_roll,average_completion_time,average_waiting_time,machine_utilization,load_balance_std,split_task_ratio,total_split_count,inference_time,candidate_mode,split_rule,notes
MinCandidateLoad,small,test,170004,small_test_0004_seed_170004,217.47727865256263,119.73456572331877,10.693274404420956,0.5293221110859213,31.844874185903336,0.4583333333333333,11.0,0.0012049999786540866,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
GreedyECT,small,test,170004,small_test_0004_seed_170004,217.47727865256263,123.07875557006746,15.181636283668086,0.5300407411665164,39.12569106248398,0.4583333333333333,11.0,0.0922485999763012,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
Random,small,test,170005,small_test_0005_seed_170005,249.74964440607638,142.6680670165296,32.42188336348108,0.47449580053528473,49.217069119070665,0.5416666666666666,13.0,0.002144699974451214,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
FIFO,small,test,170005,small_test_0005_seed_170005,216.05908618698592,125.19997195184425,13.586085053355083,0.5374589651456779,51.38380590679936,0.5416666666666666,13.0,0.0013503000373020768,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
SPT,small,test,170005,small_test_0005_seed_170005,243.8324172213247,129.66392045998384,19.3449585989482,0.47208180342403316,50.305276372940476,0.5416666666666666,13.0,0.0013269999762997031,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
LPT,small,test,170005,small_test_0005_seed_170005,240.6796444060764,159.33097754866165,47.032606652279874,0.474859765939841,49.46551677267852,0.5416666666666666,13.0,0.0012437999830581248,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
MinCandidateLoad,small,test,170005,small_test_0005_seed_170005,242.83491191340934,131.03886996885348,18.705502764993245,0.4719919823295129,54.111483254435925,0.5416666666666666,13.0,0.0012002000003121793,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
GreedyECT,small,test,170005,small_test_0005_seed_170005,218.6908734636911,124.38017443153369,13.381560473572728,0.5313490076025357,52.30486505558801,0.5416666666666666,13.0,0.08985769998980686,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
Random,small,test,170006,small_test_0006_seed_170006,249.88812433324924,138.34540641326393,30.74131055995379,0.4502869038448885,48.85427775569218,0.5416666666666666,17.0,0.0010662999702617526,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
FIFO,small,test,170006,small_test_0006_seed_170006,212.18307958172812,115.54718388486549,5.650911459591011,0.5312154642175347,55.22003259112843,0.5416666666666666,17.0,0.001014399982523173,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
SPT,small,test,170006,small_test_0006_seed_170006,236.0848181957415,127.42456453902561,20.99590070088179,0.47622669839332404,50.601330545238355,0.5416666666666666,17.0,0.0011688999948091805,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
LPT,small,test,170006,small_test_0006_seed_170006,211.66683244951523,138.03937375281336,28.80801259594175,0.5435744174247091,48.832147061166424,0.5416666666666666,17.0,0.001357399974949658,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
MinCandidateLoad,small,test,170006,small_test_0006_seed_170006,212.18307958172812,115.98695689500452,7.925698200644805,0.5395136696152485,53.019961779600685,0.5416666666666666,17.0,0.0011638999567367136,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
GreedyECT,small,test,170006,small_test_0006_seed_170006,203.2434132225301,113.3742358566118,11.412627085501134,0.5378169403862687,55.53028011258503,0.5416666666666666,17.0,0.08950780000304803,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
Random,small,test,170007,small_test_0007_seed_170007,259.6249183589463,146.67308993207845,54.000177466991666,0.5096876473229737,56.60816323095463,0.5416666666666666,13.0,0.0010917999898083508,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
FIFO,small,test,170007,small_test_0007_seed_170007,202.73875245694586,117.16527851583946,17.97308619855062,0.6375502752467622,59.00913015591898,0.5416666666666666,13.0,0.0010763000464066863,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
SPT,small,test,170007,small_test_0007_seed_170007,273.9998987114963,141.32652582060848,48.740347471351384,0.478081528151155,57.98182328507112,0.5416666666666666,13.0,0.0011842000531032681,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
LPT,small,test,170007,small_test_0007_seed_170007,239.9619183589463,147.8860319819705,52.503702990671606,0.5431725156727272,58.373666514824826,0.5416666666666666,13.0,0.0012387000024318695,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
MinCandidateLoad,small,test,170007,small_test_0007_seed_170007,202.73875245694586,117.16527851583946,18.236398001468608,0.6375502752467622,59.00913015591898,0.5416666666666666,13.0,0.0012997000012546778,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
GreedyECT,small,test,170007,small_test_0007_seed_170007,205.28418144736395,108.74343607810182,19.530547219243093,0.6236393344417517,57.887885520184376,0.5416666666666666,13.0,0.1220465999795124,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
Random,small,test,170008,small_test_0008_seed_170008,235.29808132942324,133.43232131288968,26.547954784226743,0.5526115958444416,26.809905560342283,0.625,16.0,0.0011139000416733325,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
FIFO,small,test,170008,small_test_0008_seed_170008,205.42583691806334,115.282804044324,13.072217964020888,0.6323368237802528,24.958071018091,0.625,16.0,0.0010730000212788582,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
SPT,small,test,170008,small_test_0008_seed_170008,249.6999506098144,147.41514742575075,37.81591670455865,0.5297579035434734,25.135051524727803,0.625,16.0,0.0012473000097088516,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
LPT,small,test,170008,small_test_0008_seed_170008,224.47279784319355,136.95922886093368,34.072556921428315,0.5876463050733846,30.66827513849469,0.625,16.0,0.0011878999648615718,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
MinCandidateLoad,small,test,170008,small_test_0008_seed_170008,205.42583691806334,116.30478785596198,14.445451775658867,0.6323368237802528,24.958071018091,0.625,16.0,0.0011792000150308013,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
GreedyECT,small,test,170008,small_test_0008_seed_170008,232.20602423476006,115.90619296277764,18.76775315009687,0.5545516205044658,36.03336540677119,0.625,16.0,0.1218302000197582,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
Random,small,test,170009,small_test_0009_seed_170009,226.30042241811702,133.85588151122099,25.922994030966624,0.6225207409209017,27.977730842607997,0.75,19.0,0.0010445999796502292,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
FIFO,small,test,170009,small_test_0009_seed_170009,203.57603301188215,116.4511610181293,7.09812607921517,0.6759675515534421,31.53448194359295,0.75,19.0,0.0010179000091738999,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
SPT,small,test,170009,small_test_0009_seed_170009,275.31135275566817,129.8897452108902,24.919008175701773,0.5033483143112608,28.95898288601311,0.75,19.0,0.0013730000355280936,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
LPT,small,test,170009,small_test_0009_seed_170009,235.8841717188817,157.4919787149519,34.726658472488566,0.5874811536124186,28.95898288601311,0.75,19.0,0.0012989999959245324,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
MinCandidateLoad,small,test,170009,small_test_0009_seed_170009,203.57603301188215,121.74524554499969,13.709623928384806,0.680716208436138,28.95898288601311,0.75,19.0,0.0012462000013329089,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
GreedyECT,small,test,170009,small_test_0009_seed_170009,246.0866966923557,115.6068825633969,15.636339882255422,0.5631247327991914,28.95898288601311,0.75,19.0,0.11508519999915734,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
Random,small,test,170010,small_test_0010_seed_170010,249.2378308322179,153.05568838285484,29.754527198470907,0.5702746315016456,38.42948073233828,0.4166666666666667,10.0,0.0010637000086717308,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
FIFO,small,test,170010,small_test_0010_seed_170010,205.8872722406909,118.95714043849996,6.638891919774507,0.690291068523037,35.4286347827136,0.4166666666666667,10.0,0.000989499967545271,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
SPT,small,test,170010,small_test_0010_seed_170010,255.2973682219405,146.27777233283442,31.982157129812872,0.5503936650844694,36.322112744830996,0.4166666666666667,10.0,0.0011545000015757978,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
