size,split,ordering,split_strategy,num_instances,Cmax_roll_mean,Cmax_roll_std,average_completion_time_mean,average_completion_time_std,average_waiting_time_mean,average_waiting_time_std,machine_utilization_mean,machine_utilization_std,split_task_ratio_mean,split_task_ratio_std,total_split_count_mean,total_split_count_std,inference_time_mean,inference_time_std,valid_ratio,overlap_violation_mean,release_time_violation_mean,machine_eligibility_violation_mean,split_ratio_violation_mean,processing_time_violation_mean,completion_time_violation_mean,cmax_check_pass_ratio
large,test,GreedyECT,NoSplit,50,546.11866,28.958493085525014,282.3136236363637,12.908818479253995,6.316887878787879,2.5413850118742287,0.47485998660235185,0.02567654613642533,0.0,0.0,0.0,0.0,0.020812064004130663,0.0016923953278469087,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
large,test,GreedyECT,OracleSplitDebug,50,544.176110036086,27.453468288053266,275.01712690543974,12.707246053397638,9.750626587505295,3.050042598274649,0.4889834510104154,0.02288398939597024,0.6598484848484848,0.03839795726507329,145.04,10.656378371660796,0.019862867996562273,0.0013932504758722881,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
large,test,GreedyECT,RandomSplit,50,545.3142097371099,27.83923234295557,278.2065109483254,12.878209072822866,7.817900953102926,2.8761239973795374,0.48196838512973716,0.025153761028640687,0.3893939393939394,0.029883458974721243,75.18,7.157345876789804,0.019812786002876236,0.0011715930584606047,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
large,test,GreedyECT,SpeedRatioSplit,50,545.1513595019575,26.520355376338372,275.02322457492,12.764167296670344,9.828430270158941,3.0694309659153935,0.48858607590292563,0.021916174697297914,0.678030303030303,0.03320395000122899,156.92,10.472516412018651,0.017644588000839578,0.001194048663872422,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
medium,test,FIFO,EqualSplit,50,336.7863116666667,31.14798121037082,171.79566619791666,11.163790243746487,10.92392984375,5.036233209402394,0.595324508475843,0.05188840751712184,0.6440625,0.06078024581432688,62.98,6.967036672789946,0.003620246002683416,0.0007402445593256248,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
medium,test,FIFO,GreedyECTSplit,50,334.5430436469138,32.23757323686546,171.41694845283746,11.308001025978689,10.643860347763523,4.798864188320759,0.5949034946159757,0.05345259932627999,0.6440625,0.06078024581432688,62.98,6.967036672789946,0.003587864001747221,0.0008383133172905358,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
medium,test,FIFO,MaxSplit,50,334.5430436469138,32.23757323686546,171.41694845283746,11.308001025978689,10.643860347763523,4.798864188320759,0.5949034946159757,0.05345259932627999,0.6440625,0.06078024581432688,62.98,6.967036672789946,0.00380379399866797,0.0010621985075777648,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
medium,test,FIFO,NoSplit,50,336.73073999999997,32.64464145418662,175.802013125,11.268117129500563,11.400542812500001,5.311807732856864,0.5843319641661479,0.05024232099600275,0.0,0.0,0.0,0.0,0.003604567997390404,0.0013151380966187906,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
medium,test,FIFO,OracleSplitDebug,50,330.4383411314496,31.6751266274882,172.59473567778747,11.235066825904216,11.646881949631744,5.411405269412347,0.5973276069036484,0.05302877589761249,0.235,0.064344653041259,17.46,5.185402588034993,0.004618277993286029,0.001122315203297088,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
medium,test,FIFO,RandomSplit,50,333.7435637426328,29.603723353514493,173.8229970048703,11.027739928885797,11.236735963013567,5.11131131187671,0.5909407911343558,0.047847107461456456,0.325,0.03684320663297374,27.56,3.965652531425314,0.0036573660012800247,0.0006475046060977162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
medium,test,FIFO,SpeedRatioSplit,50,334.5430436469138,32.23757323686546,171.41694845283746,11.308001025978689,10.643860347763523,4.798864188320759,0.5949034946159757,0.05345259932627999,0.6440625,0.06078024581432688,62.98,6.967036672789946,0.003661345998989418,0.0006109541400872943,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
medium,test,GreedyECT,EqualSplit,50,360.47245166666664,34.04309926119017,173.934706484375,11.265156279840012,19.150026276041665,6.047904701047314,0.5550056827649046,0.04728846561921251,0.6440625,0.06078024581432688,62.98,6.967036672789946,0.0070966600056272,0.0016160791024231013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
